"","V1"
"1",-9.7567167014891
"2",-7.72183076304444
"3",3.64916348509407
"4",-1.38790899335338
"5",-8.28142169595915
"6",-1.25511689103935
"7",-10.8322698520011
"8",2.93430177045765
"9",3.15308475755652
"10",5.517947803484
"11",1.58700554474895
"12",6.77866992607548
"13",4.78079538518672
"14",2.02778602381451
"15",-2.50279676042921
"16",-5.72335942214129
"17",5.90604027312407
"18",-0.957373506287664
"19",-10.9642018904909
"20",-1.69224693484295
"21",-0.259263983567294
"22",-1.39924985319988
"23",-3.74426856935827
"24",3.88583135470889
"25",-1.11734352677414
"26",-0.708313612668604
"27",-0.866143018470291
"28",14.8444205558694
"29",1.17512364732331
"30",1.64057797641087
"31",8.1904346060908
"32",-5.00574549866761
"33",0.981142048207769
"34",5.60450900887271
"35",-0.0597997316670478
"36",-7.98212552390491
"37",3.16148594756755
"38",6.41327364007083
"39",-3.84691711262318
"40",4.44774020174142
"41",0.990789294362304
"42",0.613026889491659
"43",-5.74049546561877
"44",-9.5910124974242
"45",-1.37001086007692
"46",-3.76826551825978
"47",-6.90900504177711
"48",7.6800815522631
"49",0.479023998050863
"50",2.05999178863305
"51",3.50308759968235
"52",-1.69848282118058
"53",-2.84002396516285
"54",-0.805220556636598
"55",8.27502702681235
"56",1.6112885676925
"57",3.54854367657386
"58",2.55450384608902
"59",1.24780195301262
"60",-5.23606041844
"61",-2.27788481617095
"62",0.0948116036297948
"63",-1.58994318309168
"64",-2.75071449007771
"65",7.33983624915758
"66",-1.43644155081988
"67",2.11219973813035
"68",-0.345725893473241
"69",-8.80887016278265
"70",-12.6146040016927
"71",6.78660440063241
"72",2.22295475037812
"73",-4.3424887826613
"74",3.79822370349493
"75",-5.1771142709717
"76",-0.93384582259619
"77",2.01836373559997
"78",6.36280412927394
"79",-6.23771364201655
"80",0.821221160563139
"81",-3.3328938595403
"82",-9.16048522177006
"83",4.03430789661813
"84",4.3725759239251
"85",-8.20513749648851
"86",7.35144193965592
"87",4.31819580386697
"88",3.75105312888213
"89",1.31747968372201
"90",5.91936877057412
"91",3.83346447967728
"92",4.48649424236789
"93",4.15880111244277
"94",-8.62227801200797
"95",-3.07468885182753
"96",0.410767559093285
"97",-6.93016926356987
"98",-6.46776649836877
"99",6.17029004188773
"100",-4.30563948572425
